"Município";"De 0 a 4 anos";"De 5 a 9 anos";"De 10 a 14 anos";"De 15 a 19 anos";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"351420 Dolcinópolis";106;110;137;126;153;148;115;184;149;140;172;137;137;94;88;73;61;2130
"351430 Dourado";522;514;564;578;684;707;692;641;623;587;597;573;439;380;252;223;276;8852
"351440 Dracena";2413;2498;2574;2831;3259;3681;3858;3540;3354;3254;3192;2930;2366;1882;1486;1215;1403;45736
"351450 Duartina";721;728;793;770;950;943;945;914;868;896;852;775;675;517;401;316;430;12494
"351460 Dumont";633;630;726;749;781;936;858;695;596;574;517;461;367;237;165;123;164;9212
"351470 Echaporã";427;427;389;461;486;454;439;410;407;427;460;341;310;269;195;148;214;6264
"351480 Eldorado";1396;1237;1303;1452;1283;1051;1053;1020;945;906;827;689;602;484;421;285;331;15285
"351490 Elias Fausto";1247;1163;1292;1436;1352;1575;1497;1330;1225;1164;951;873;638;475;340;259;264;17081
"351492 Elisiário";221;220;195;257;270;314;313;291;263;214;183;176;164;122;85;84;84;3456
"351495 Embaúba";147;147;166;156;176;210;216;182;157;181;167;146;128;93;75;59;60;2466
"351500 Embu das Artes";21823;20605;21500;23332;22230;23014;23750;22263;19168;16645;13175;11468;8912;6193;3807;2107;1880;261872
"351510 Embu-Guaçu";5240;5029;5456;5914;5456;5581;5473;5282;4748;4261;3774;3372;2553;1935;1353;864;919;67210
"351512 Emilianópolis";181;191;203;197;242;252;211;222;243;229;229;182;152;142;115;90;82;3163
"351515 Engenheiro Coelho";1591;1572;1703;1744;1587;1903;1928;1505;1150;1051;893;593;478;382;275;205;202;18762
"351518 Espírito Santo do Pinhal";2588;2553;2780;3184;3282;3584;3485;3281;3198;3178;2900;2631;2090;1704;1175;951;1175;43739
